2026-01-12T16:52:15.478+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2026-01-12T16:52:15.482+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2026-01-12T16:52:15.483+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2026-01-12T16:52:15.486+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2026-01-12T16:52:15.488+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2026-01-12T16:52:15.491+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2026-01-12T16:52:15.492+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2026-01-12T16:52:15.492+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2026-01-12T16:52:15.494+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2026-01-12T16:52:15.496+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2026-01-12T16:52:15.505+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.framework.autoproxy.defaultProxyConfig'
2026-01-12T16:52:15.510+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2026-01-12T16:52:15.512+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2026-01-12T16:52:15.515+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2026-01-12T16:52:15.516+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2026-01-12T16:52:15.516+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2026-01-12T16:52:15.536+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionAttributeSource'
2026-01-12T16:52:15.538+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionInterceptor'
2026-01-12T16:52:15.538+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
2026-01-12T16:52:15.542+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2026-01-12T16:52:15.542+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2026-01-12T16:52:15.553+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2026-01-12T16:52:15.553+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2026-01-12T16:52:15.554+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
